provider id,provider name,city,state,phone number,speciality1,gender,email
AF705,Jose Garcia,SAN DEIGO,ALABAMA,555-234-9910,Alcohol Abuse,Male,josegarcia@hotmail.com
OW976,Joe Smith,LAS VEGAS,ARIZONA,111=111-1111,Depression,Male,joesmith@yahoo.com
AO676,Angie Jones,PHOENIX,ARKANSAS,222-222-2222,Depression,Female,angiejones@gmail.com
JF74,Leigh Hunt,BOSTON,ALASKA,333-333-3333,Alcohol Abuse,Female,leighhunt@ihelpyou.com
IP800,Abdul Jamar,SAN DEIGO,ARKANSAS,444-444-4444,Anxiety,Male,abduljamar@focuscounseling.com
US401,Marcus Ware,MAIMI,ARKANSAS,555-555-5555,Alcohol Abuse,Male,marcusware@yahoo.com
WF977,Tony Romo,NEW YORK,ALASKA,666-666-6666,Marital,Male,tonyromo@cowboys.com
CF593,Pete Sampras,CARLS BAD,ALABAMA,777-777-7777,Marital,Male,petesampras@tennispro.com
SG949,Michael Jackson,PARIS,ARKANSAS,888-888-8888,Anxiety,Male,michaeljackson@heehee.com
FD378,Julia Roberts,LONDON,ALASKA,999-999-9999,Alcohol Abuse,Female,juliaroberts@prettywoman.com
